标签,邮件
1,无线城市送大礼！自12月10日起，推荐好友注册无线城市，即有机会获得百元话费，还在等什么，快来看一看吧！http://wap.wxhn.cn/zhengzhou
1,杨经理18324148680【提】【验】【供】【后】【税】【付】【票】【款】
1,尊敬的客户，您的报价单已发至填写邮箱，官网精准报价+惊喜大礼等您回来领取：chexian.taobao.com【中国平安】
1,亲爱的常常思念，您购买的第2013057期双色球已中奖，奖金为10.00元。请登录财付通彩票查看详情。【财付通】
1,通货膨胀咋办？手上有钱怕缩水？增值保值好渠道绿地峰创国际纯沿街商铺，9000元/平起花住宅的钱买商铺，仅30席，周末开盘87777888
1,花园大过一套房，赠送给您怎么样？大合仓·商馆外双楠最赚钱双地铁写字楼.一期升值超34.户户送花园最大90㎡.询85046655【大合仓】
1,有假赔您28万，最后机会！清盘三十套，总价23.8万—26.6万！三室两厅！临河 临公园 临中庭！阳光传世风景38167777【现代房产】
1,浦东16号线宽景四房，首付68万元即可入住！绿地皇家官邸，高达70米栋距和7米面宽大客厅，给您全家最舒适的生活空间68050880
1,"4.8折起，Travelzoo旅游族独家特供嗨友会3款五星酒店两日游特惠套餐，仅售两周，详情登录club.1hai.cn,咨询电话4008886757【一嗨租车】"
1,李玲化妆品店联合花之韵品牌百万豪礼大放送！凡18-48岁女性凭本人身份证5月13一17日免费领取220ml采芝沐浴盐一瓶3756222
1,"殷小红(15339351315):给您分享一款全球最火爆的消除游戏《贝壳拾趣》, 请您直接点击下载并安装:  http://e.189gs.com/6q8U50"
1,您好！赴瑞士享受羊胎素疗养之旅，修复衰老肌体，让您感受返老还童的全新生活体验。名额有限，6月15日发团。预订电话：4008201468
1,null现在淘宝评价也能赚钱了，在给卖家评价的时候只需加入推广语即可得到高佣金，快来赚钱吧详情进入www.pingjiaw.com！ 【鸿利电子商务】
1,现在买11选5中奖额外送彩金，单注最高奖金580元，别错过！ http://518.qq.com/p?105
1,纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mh5/wRNLv
1,红树叶俱乐部隆重推出客户端，一键下载到手机，精彩无限，好礼连连。点击网址一键下载:http://t.cn/zTM8cuh 【红树叶俱乐部】
1,6212 2636 0200 4756 698工商银行，曾志超
1,你知道成都的立方商铺吗？投资十余万年收三、四万！【电商方格铺】轻松分享万亿级电商行业利润！一铺抵三铺！租金成倍翻02885220606
1,人生三大事，房子车子和铺子！闽南最大室内主题乐园，携手刘谦，打造中国迪士尼。独立街铺88万起【世茂御龙湾】68222222【世茂地产】
1,拥东城商铺等收租不用博。东莞最旺世博商圈唯一在售，聚海雅等6大百货、3大电器、酒吧街步行街。日均30万人财位低至1.5万/方23139936
1,"路痴不可怕，就怕没地图，高德地图，精确定位，快速导航，秒杀一切路痴，找银行、找饭店，so easy,一键在手，走遍全球，下载地址：  http://ah-3g.cn/cp.jsp?id=6404"
1,今日主力资金以15元建仓超短线金股《300223北京君正》明天将强势拉升，实力见证！切勿追高！详询：0731-88299550〈阳光私募〉
1,金河·星座南城核心！县实验小学北邻，24小时热水、地暖、中央软水处理系统，只为幸福生活保驾护航。凡到访均送礼品！询8539997【金河置业】
1,“流量星人大比拼”活动开始啦！即日起至5月31日，使用流量来赢取流量星人称号，更有机会获得千元话费！还等什么，快来参加！       http://ah.kk3g.net/i/1/PUTCeaZf
1,今带学员建【300223北京君正】明拉 升绝对精彩必涨5以上！现广泛招收散户与庄共舞！报名预约明牛股电020-29126488【锦鸿理财】
1,尊敬的会员：橡果十五周年感恩回馈200元代金券，致电4006601177领取智能手机、熊猫银币、空调被四件套、男士商务礼盒等好礼【橡果国际】
1,520！DHC倾情献礼：通信满720元赠橄榄蜂蜜皂+时尚小家电+纯棉毛巾（总价值427元）仅2天，详询官网或4008208820【蝶翠诗】
1,在线听歌、神曲下载、订购彩铃，还有什么爱音乐客户端不能满足？最好声音尽在爱音乐！http://189.3gbc.cn/d?a=az51901
1,【天上掉下个Iphone5！】通信助手的众亲们，回对应数字设置优先接收的回执精品资讯：2、健康；4体育；6娱乐。成功设置可参与次月Iphone5和1000元话费抽奖。您还可登录 http://v1x.cn/V2X 设置，访问产生的流量费按标准收费。中国移动
1,市中心商业核心地段，30-180平万达金街开盘在即，5万最高可抵20万，认筹钜惠即将截止！现虞河金街样板段对外开放欢迎来访！8099888
1,揽海岛风情，享假日阳光！海南华亚海岛假日，精装50-108平百变户型6500元/平起，畅享高铁便捷度假4000285693【华亚集团】
1,相亲网，用户ID:32783047，男，已给您发送秋波，请及时把握您的缘分！婚恋热线 4000520019[相亲网]
1,六.一曲江演出携手莱安集团邀您共享亲子时光：中国杂技团＂金小丑＂奖杂技剧《金小丑的梦》6月1日2日曲江国际会议中心，抢票热线81545309
1,"夺金时刻！青白江凤凰城""掘金行动""机会来临，看房买房送金现限时开启，首期品牌体验特价购置院墅洋 房最后机会，坐享千亿级项目发展红利，争藏城央绝对稀缺贵重资产，荣享至尚高端生活模式，一期30套保留院墅掘金价最后机会。83672222【凤凰快讯】"
1,纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mha/O4ynn
1,7.5万加币全家枫叶卡，2014子女限龄18岁，各省改法倒计时！25日周六14点凤凰大厦2栋19楼【瑞得福4008148222】【天翼时代】
1,市场综述：上周沪指带量突破2250点，确认做多！新荐的金洲管道和四川路桥，立即获利！短线淘金：600692亚通股份，000632三木集团，组合买入，-10止损。加入博弈团队VIP服务，荐股将更精选！咨询22213086。安赢-博弈团队（仅供参考）【安信证券】
1,买牙刷
1,《全面绩效考核、薪酬体系设计与劳动用工风险控制实战班》5月23日在清华授课，助力企业打造精英团队！电话:010-82865969【开课通知】
1,移动五月大特惠，手机大团购，价格优惠还送话费，三星S7568：1000元；三星9268：2650元；三星I9228：3350元；三星N7108：4409元；三星I9308：3650元；HTC329T：1450元；HTC8X(C620t )：2700元；诺基亚920T：3563元；摩托罗拉MT788：1900元。如需办理联系移动程经理13576108690
1,5.22中国好声音空降东二环【当代MOMA历峰】邀您共同见证“想你的夜”200-500平典藏家业大宅，献给影响中国的圈子4000303025
1,南京华美整形美容医院5月优惠季4月25日正式启动！全场低至5折！36天与您疯狂塑美！中韩顶级专家任您钦点！咨询02583336888（手机报
1,第二个号和第三个没人接。第一个应该不是。
1,大河西，市府旁【潇湘奥林匹克花园】70-140平N+1绝版户型、1万平运动城、明德学校、15亿尖山公园、超值VIP全城邀约！88398666
1,5是无时无刻无处不在，2是爱心爱护爱无止境，0是情感情怀情有独钟。*5.20亲人爱、恋人爱、朋友爱*，#愿你身边充满爱#
1,周年庆巨惠：满177送玉菇甜瓜2只装或新西兰加纳果8只装，更多惊喜活动等你参加yummy77.com【美味七七/原正大天地】
1,美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgM/PWhfi
1,别让孩子输在学习方法和习惯上，个性化辅导专业测评量身定制学习方案，逐一解决问题提高成绩。台江83299155鼓楼85165363【未名教育】
1,邮件广告、精准营销，低投入高回报的广告媒体，100受众率，任意指定区域发布，广告直达终端客户群体。李经理：15178268603
1,【联通热门应用推荐】疯狂斗地主(赢奖)――网络真人对战斗地主，体验秒杀对方的快感！免费下载:http://wostore.cn/I3IRFn
1,慧聪联合民生银行推出最高额度50万无抵.押贷.款年息9，灵活支配无手续费，5月24日专场说明会。18221156220【慧聪网】
1,闪耀京城新品即将开盘！燕莎东北中央别墅区核心，地铁旁，120-200平两梯两户低密绿色健康华宅。详询4006038377【万通·溪悦府】
1,尊享10公里私家沙滩！防城港恒大御景湾即将隆重开盘，50-140㎡一线海景房送1500元/㎡豪装，认筹即享开盘额外85折4006700333
1,读美澳英加大学和全英文美国高中、国际高中大连招生会于5月18日下午2点在大连香洲饭店举行，欢迎家长光临！01084390808【爱迪学校】
1,不抹药一次见效专治牛皮癣、湿疹、皮炎、荨麻疹；医保定点沈阳·市中山皮肤病研究所百万现金援助会诊活动，即日起治疗优惠20。询88523656
1,下午好人民广场附近，上海新世界城旁，三地铁交汇，04年精装板式全南两房115平，业主急售450万，意电小平13524759803【房源推荐】
1,首付5万为爱筑巢！买婚房送家电，再领万元低金券，房展会期间加推17号楼 ，一期6月底抢鲜入住，婚房专线3237777【康庭美墅】
1,买三居送一居！第二机场地铁直达85-115平瞰景洋房，首付19万起，致电享万元优惠，免费领水木年华演唱门票4000119227
1,10-12日澳柯玛电动车超级换购价298、798元，引领夏季换购风暴，母亲节赠精美礼物！地址上街【新日电动车】店85131926【上街公司】
1,千亩高尔夫推窗即揽！恒大集团强势打造洪城第一成熟大盘！恒大绿洲121-177㎡奢装豪宅即将售罄，递减惠售85706999【恒大地产 】
1,【天上掉下个Iphone5！】通信助手的众亲们，回对应数字设置优先接收的回执精品资讯：2、健康；4体育；6娱乐。成功设置可参与次月Iphone5和1000元话费抽奖。您还可登录 http://v1x.cn/V2X 设置，访问产生的流量费按标准收费。中国移动
1,"你好，中信集团长期在本地发放小额贷款，免抵押，免担保，年息15 ，当天办理可放款。联；13544453008,刘经理。."
1,友好提醒：尊敬的动感地带客户，您目前的话费为62.07元，允许话费透支额为0.00元，预存款余额为11.63元，为保证您的通信畅通，请您及时缴费，以免停机给您带来不便。拨打10086-1或登录www.10086.cn即可轻松便捷交话费。点击以下链接即可查询您的实时话费和余额：http://wap.ln.10086.cn/nologin?type=1302
1,"智能手机/国际触摸屏技术展5月23-25深圳会展中心3-4号馆举行,展讯、信利南玻近300家企业参展邀参观凭名片0755-82968239"
1,尊敬的北京现代车主朋友：感谢您的支持和信赖，为回馈您对北京现代的厚爱，0首付、0利息就可将您的爱车置换升级为T动力全尺寸豪华SUV全新胜达，部分车型更可享0月供升级金融礼遇，数量有限，先到先得，详情请致电052386826366。北京现代泰州宝天4S店
1,【流量精英华山论剑】线上分享应用活动，邀您与众高手一战江湖！战斗值排名高者将获得iphone手机、ipad mini、数码相机等豪华大礼相赠！还有抽奖好礼送院线通电影票、流量卡。快来【翼分享】行走江湖：http://wap.189share.com/dghd3
1,尊敬的贵宾，全新护养品牌#东方季道#上市后，获得业界专家、媒体、消费者无数好评。其独创肌质寒平热之性，创新呈现肌肤调养系列。夏三月，循四季调养之序，特推出切合面部的护理臻品。28天朔望之间，缔造灵透无暇如玉美肌，期待您的莅临 ji.tmall.com【东方季道旗舰店】
1,山庄5月22日开业大吉，内设棋牌、茶艺、啤酒广场及农家小炒敬请广大顾客光顾地址青年林向上两百米18394111100[卓尼县山珍园农家山庄]
1,【惠生活】5月15日（明日农历四月初七，宜开市、交易）【商讯】畅刷 桂林热荐，中青旅遨游网特价厦门鼓浪屿、集美学寸、永定土楼双飞5日1780元/人，抢拍热线：2308600。（本信息仅供参考）【娱乐】有个妹子跟我聊起了择偶标准，说不喜欢帅的，比较喜欢我这样的！当时心里挺美的，现在越想越觉得哪不对！（发送KTHSH到10086永久免费开通）
1,亲爱的用户，今天下午3点，将举行小米手机剩余订单专场，欢迎届时访问小米网xiaomi.com购买。【小米】
1,周至移动特为您推出联想278T智能手机，仅需199元，并赠价值30元礼品一份，详询客户经理刘锐，电话13571873031。[周至移动]
1,儿童厌食，盗汗，形体瘦，易感冒，精力旺盛，皆因脾胃失调，肝气积郁所致。调理应从舒肝健脾入手。芪斛楂儿童脾胃健康咨询热线02887766203
1,亲爱的掌柜，您的直通车“极品飞车推广计划 04-04 22:47”推广计划即将到达日限额，请您根据推广的实际情况进行调整。【淘宝网】
1,3月10日绿城迎战亚泰，绿城进几球就送几个ipad mini！还有IPhone5等你拿！详情于 wap.500.com 查看【500彩票网】
1,你好，大唐S18 4.5寸屏 （乐享话费包） 530.00   十台送一台  欲购从速  联系电话13919999908[兰州兴盛嘉源电子科技有限公司]
1,你好，我是金华达税务代理有限公司，本公司可向外代开各票据，如；国税，地税，通用机打，房屋租赁等等。。有需要13613070119蔡小姐
1,公司注册2500全包，地址不过年检一千全包，代理记账167元/月网站www.dz126.com黄小姐18925204112【德智企业】
1,幼升小，如高考，思维提升是法宝！沪上首届数学思维嘉年华，全面提升十大思维力，让宝宝从小聪明胜人一筹！免费体验4006217665【至慧学堂】
1,零抵 _ 押免担保，简单资料就可申请1到30万.2天到账（非民间）.电话：1 86637212 23-【可直接回复】
1,长虹电视5月23-26日节能补贴未班车长虹一全场满千反百十节能补贴十商家补贴最高让利3000元，询15299508080【国美电器长虹专柜】
1,【天上掉下个Iphone5！】通信助手的众亲们，回对应数字设置优先接收的回执精品资讯：2、健康；4体育；6娱乐。成功设置可参与次月Iphone5和1000元话费抽奖。您还可登录 http://v1x.cn/V2X 设置，访问产生的流量费按标准收费。中国移动
1,意生下午盘中布局300223北京君正，明天开盘拉高5个点以上，请重点关注。如有盘中合力拉高着请来电07523106697王老师【意生公司】
1,【天上掉下个Iphone5！】通信助手的众亲们，回对应数字设置优先接收的回执精品资讯：2、健康；4体育；6娱乐。成功设置可参与次月Iphone5和1000元话费抽奖。您还可登录 http://v1x.cn/V2X 设置，访问产生的流量费按标准收费。中国移动
1,【手机软件推荐：天下趣闻】一只绵羊跳下悬崖身亡，1500只绵羊随后从同一处悬崖跳下。这是2013年3月发生在土耳其东部城市盖瓦什的一件新鲜事，想知道为什么吗？天下趣闻为你展示出乎意料的世界！点击下载 http://139url.cn/98r6hc
1,您好，刚才为您服务的投顾工号为714047，如有任何疑问，可随时拨打021-36129866咨询，谢谢您的支持！【金策黄金】
1, 美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgx/QHpF4
1,联通“沃音乐乐翻天”上线啦！电话里就能畅玩“听歌曲猜歌名、我爱记歌词”等精彩游戏。五元包月回复任意即可加入，拨1015559抢鲜体验！
1,【000060中金岭南】今冲击6出局！共同鉴赏！盘面放量，把握热点！14:35封仓明目标7！致电：02029051012【信托】
1,农家绿色庄园：30分钟直达东直门，桃花环抱、绿谷奇石，12.8万/套起，340-720平米！休闲、种植、度假在家中！电话4000836687
1,淋漓的夏日，无线音乐给你带来无限的欢“乐”时光！活动期间发送SJTJ到10086首次开通咪咕特级会员1元升级包且在次月15日前不退订，即可获得2元话费和一次Ipad4等大礼抽奖机会哦！活动ing: http://139url.cn/9gjqpj
1,唯品会周二精选推荐：宾度男装、蜜雪儿女装、欧珀莱化妆品、丹尼熊箱包、圣伽步男女鞋等热售！回复TD退订www.vipshop.com【唯品会】
1,【联通热门应用推荐】疯狂斗地主(赢奖)――网络真人对战斗地主，体验秒杀对方的快感！免费下载:http://wostore.cn/I3IRFn
1,5月26日株洲美宝行拉响空“降”警报，总经理限时签售会，全系车型悦享百万钜惠，1.59超低利率。询：073122220000【株洲美宝行】
1,特别的铃音献给特别的你!陕西联通为您推荐3首0元炫铃:左眼皮跳跳、漂亮的美美 、我要的幸福。拨1015601按3即可下载
1,南山科技园稀缺红本厂房出售，面积3065平，地铁口，近大冲村华润旧改100米处价值倍增，租约6个点。13684988179孙小姐
1,大金中央空调，地暖，热水，水处理，新风，家庭影院，背景音乐等中央系统“团购促销活动”火爆进行中，13661472420朱【上海永乐楼宇】
1,您尾号8138卡21日08:27ATM支出300元，手续费3元，余额592.04元。【工商银行】
1,18229198333（长沙）18229197333（株洲）24小时为您提供两地往返服务，包车拼车，上门接送。祝您生活愉快！【阳光车队】
1,盘龙河畔，市一中对面，文山首席亲水纯住宅区，2013炬隆地产水岸钜作-河畔润园，内部认筹卡全城免费申领2182154、2661288【炬隆】
1,行情来了，操盘手最新高端实盘指导，加Q群：281360774，盘前提示潜力股，盘中实盘指导；把握实时热点，学炒股方法，免费体验【益盟操盘手】
1,【天上掉下个Iphone5！】通信助手的众亲们，回对应数字设置优先接收的回执精品资讯：2、健康；4体育；6娱乐。成功设置可参与次月Iphone5和1000元话费抽奖。您还可登录 http://v1x.cn/V2X 设置，访问产生的流量费按标准收费。中国移动
1,尊敬的客户：招商证券股民学校本周末课程安排，周六上午十至十二点《金融信息化投资机会分析》，下午两至四点《行情研讨》，周日上午十至十二点《行情研讨》，欢迎前来学习交流。咨询电话：82622088－招商哈尔滨【招商证券】
1,【联通热门应用推荐】疯狂斗地主(赢奖)――网络真人对战斗地主，体验秒杀对方的快感！免费下载:http://wostore.cn/I3IRFn
1, 美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgx/111Cqk
1,"蝶倾城高端男士养生会馆,为你减压,让你身心放松,疏通经络唯有静心,奢华享受北店51295555南店51296456,凭邮件抵400【俊颜】"
1, 纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mh0/VM2N5
1,美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgM/VRihA
1,红树叶俱乐部隆重推出客户端，一键下载到手机，精彩无限，好礼连连。点击网址一键下载:http://t.cn/zTM8cuh 【红树叶俱乐部】
1,别删！这绝对是个不容错过的好消息！海珀晶华最后6席公开，正虹桥富人区，21米面宽，8.7米挑高，全套房设计，私家电梯59766088
1,南京华美整形美容医院5月优惠季4月25日正式启动！全场低至5折！36天与您疯狂塑美！中韩顶级专家任您钦点！咨询025-83336888
1,今带学员建【300223北京君正】明拉 升绝对精彩必涨5以上！现广泛招收散户与庄共舞！报名预约明牛股电020-29126488【锦鸿理财】
1,今日午盘带学员以15.7左右介入【300223北京君正】明日将炫目拉升，与庄同步共襄盛举！咨询专线：18070269415【赢富投 资】
1,【天上掉下个Iphone5！】通信助手的众亲们，回对应数字设置优先接收的回执精品资讯：2、健康；4体育；6娱乐。成功设置可参与次月Iphone5和1000元话费抽奖。您还可登录 http://v1x.cn/V2X 设置，访问产生的流量费按标准收费。中国移动
1,红树叶俱乐部隆重推出客户端，一键下载到手机，精彩无限，好礼连连。点击网址一键下载:http://t.cn/zTM8cuh 【红树叶俱乐部】
1,您好！办理“欢乐在线商务版”由主号免费发送BLSW到10086，根据系统回复提示选择资费套餐后，系统告知业务验证码及副号加入方式，副号凭业务验证码加入即可。温馨提示：欢乐在线商务版只可通过邮件服务厅办理，暂无法在网站或其他渠道办理。中国移动
1,祝：生意兴隆/财源广进！代 各 发开 种 票咨询电话：13826516319张经理注：可回收各种贵公司剩余进项票据。
1,你好，我是[平安银行]信贷部小罗，做无抵押免担保信用贷款的，1_80W办理简单，放款快18121256005，尽请保留。【善兼】
1,瑞鑫-海正明城3666元/平特价房！商铺稀缺，预约火爆！开售进入倒计时！湖口投资稳赚股，抢不到再等40年！2303333【瑞鑫海正明城】
1,5万88折限量预约！200－500平精品写字楼，中粮20万平商业配套，领世界500强，中 央别墅区核心4006888382【中粮祥云写字楼】
1, 美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgx/XDQup
1,特大喜讯：一个股市历史性的机会，一次空前未有错过此次再等3年或再等5年的股市投资活动！《股市天天向上》活动火爆报名中！机会不容错过，错过就是罪过，务必登陆www.tophmj.com免费报名。（请务必保存此邮件10天，确保到网站了解后再删，不然会错过大机会）【红马甲】
1,好消息！现免佣代理福田路与福中路交界中心区华润万家旁彩德城转角小铺火爆发售28-64平，总价3-4百万70产权军产可贷款港台人士不限，带五厘租约，今年8月交铺，肯德基，必胜客进驻有意请来电中原地产蒋军18675587097取消订阅回复0000【中原地产】
1,"国服信奥迪“清凉一夏”促销季，A4L最高降5.6万，A6L最高降8万，A8L最高降21万。石景山店68867373,苏州桥店62567373"
1, 美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgx/ErLdi
1,秒杀一天！VIP客户尊享女童t恤特价￥29.9！收藏店铺拿六一优惠券(美龙儿童装)http://e.1r.cc/2NmiCNz
1,王宪强:老婆大人，息怒啊，小的改了
1,绿源电动车夏季抢购潮，大车1980起售！以旧换新一律折减1000元！5月23-25日，防城长山街32号3254006
1,【谁能拥有最后的万和公馆】望京首席豪宅收官在即，最后46席楼王户型。350平全套房五居、289平三重南北通透四居84616666 -[会员]
1,您的手机号码已注册绑定了淘宝帐号，您无需重复注册，可直接使用手机号码登录手机淘宝m.taobao.com，谢谢！[淘宝网]
1,本公司长期为中小企业和个人提供资金帮助，免担保，免抵押，年利息10，当天下放，电话13754831628李主任
1,  今午盘以15.5元左右带内部会员全仓买入【300223】，明早盘有望大涨！请勿追买！详 询：15574752123【国富咨询】
1,"我公司贷款500万起，可先放款，并诚招地区代办。缺钱找中金,满足多种用途，轻松解燃眉之急。联系电话:400-684-7772."
1,"天文地理博古通今，来挑战你的知识面吧！回复K参加“智趣享乐”考试答题，连续回答20题后答对其中12题参加50元话费抽奖！详情请回J,广东移动"
1,用友软件促销，T3普及版原价4980元，现促销价1800元和2500元。联系电话：13811145641王新鑫【北京握奇】
1,告别雾霾，30分钟通达京城各核心区，中央别墅区恒温恒湿恒氧绿色独栋唯有【东君府MOMA】10万抵30万限时优惠4000552261
1,商务简报联播【手机访问http://ec.cn】1）我国将在集中连片特困地区加强开发性金融扶贫；2）中国成为全球第二大服务外包接包国；3）4月份统计数据显示房价环比涨幅7个月来首降。【商务部电子商务中心-商信通】
1, 美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgp/10GpVQ
1,5月29日抢购7888元/㎡起精装房、还送精品家具！汾河唯一70-102平小户型，世界500强实力钜献，绿地塞纳印象6090888
1,有各行业（税--票)代办，需要请联系张生，13535006088，Q_66828692
1,专家呼吁增设春夏小长假[新浪]-中国移动冲浪助手:http://go.10086.cn/nd/mev/p6B2P
1,北京体验级小镇代表座，45万平别墅区Golf墅景洋房，排号1万抵5万，170使用率送露台庭院车库大产权不限购4006117606
1,"客户名称】新品上新秒杀""凯斯""双层领夏季短袖5折秒杀火热抢购中.....请赶紧抢购！早买早便宜。【ausco.tmall.com】"
1,专业办理房产抵押贷款，最高可贷8成。抵押房也可再贷款。个人及企业无抵押贷款（3天放款）全程银行操作！咨询58600870【百恩克贷款】
1,"Hostelworld.com Booking 'FUN-D Hostel Chiang Rai', Ref: 75211-58933945, Starts: 11 Jun 2013, Tel: +66-53712123, Address: 753 Phahonyothin Rd., Wiang, Muang, Chiang Rai"
1,北京超高性价别墅，位于万亩河畔森林景观带+奥林匹克水上公园，前庭后院，双露台，赠超大空间，15号线+规划L1双轨直达4000116696
1,一路行，一路风景，一路3G相伴，快来参与新疆电信风景在路上有奖活动，点击有积分，积分有好礼，详情猛戳：  http://yx.xj.vnet.mobi/ds.jsp?ms=b1936b331a330
1,龙城美墅现 房阁楼，住宅的价格，商铺的价值！赠送10余平，超高使用率，业内最佳投资产品。老业主优先选，仅3套先到先得2358888
1,美女失恋后做整容手术反被毁容  http://g.wo.com.cn/g2c/9qgsIV&h=1&f=a11zU
