label,message,msg_new
0,他们决定把手机使用的无线电频率电磁场归类为“可能致癌物”,他们 决定 把 手机 使用 的 无线电 频率 电磁场 归类 为 “ 可能 致癌物 ”
0,作者：反腐揭黑捍中华352新闻评说有些國家,作者 ： 反腐 揭黑 捍 中华 352 新闻 评说 有些 國家
0,小区一夜四户被盗业主监控曝光小偷行窃过程,小区 一夜 四户 被盗 业主 监控 曝光 小偷 行窃 过程
0,只需下载手机客户端轻轻松松点击,只 需 下载 手机 客户端 轻轻松松 点击
0,国内院线一共上映了xxx部电影,国内 院线 一共 上映 了 xxx 部 电影
0,有圖有真相左是稍濾過的水,有圖 有 真相 左是 稍 濾過 的 水
0,一个政府有权随时提高自己债务上限的国家,一个 政府 有权 随时 提高 自己 债务 上限 的 国家
0,然后在麦当劳遇到聋哑人捐款,然后 在 麦当劳 遇到 聋哑人 捐款
0,分享无线苏州新闻：「携家带口去农庄放松周末走起」,分享 无线 苏州 新闻 ： 「 携家带口 去 农庄 放松 周末 走 起 」
0,姓名：考核内容把工作放在第一位,姓名 ： 考核内容 把 工作 放在 第一位
0,盐城市一小集团为孤贫留守儿童安排了逃生救护和足球体验课,盐城市 一小 集团 为 孤贫 留守 儿童 安排 了 逃生 救护 和 足球 体验 课
0,好声音这期怎么那么多沈阳音乐学院的歌手,好 声音 这 期 怎么 那么 多 沈阳 音乐学院 的 歌手
0,copy落googletranslate等佢讀俾我聽算,copy 落 googletranslate 等 佢 讀 俾 我 聽 算
0,南京直飞呼伦贝尔大草原,南京 直飞 呼伦贝尔 大 草原
0,阿里巴巴旗下酷盘在官方微博宣布停止服务,阿里巴巴 旗下 酷盘 在 官方 微博 宣布 停止 服务
0,理由如下：1、股市是当时没有国土没有军队没有国家的犹太人,理由 如下 ： 1 、 股市 是 当时 没有 国土 没有 军队 没有 国家 的 犹太人
0,新时代的seo优化大部分就是优化内容,新 时代 的 seo 优化 大部分 就是 优化 内容
0,百度云请输入提取密码,百度 云请 输入 提取 密码
0,东北响水石板大米又成为人民大会堂的国宴用米,东北 响水 石板 大米 又 成为 人民大会堂 的 国宴 用米
0,丹阳气象台7月22日16时发布,丹阳 气象台 7 月 22 日 16 时 发布
0,手机只能拍成这样了我已经尽力了,手机 只能 拍 成 这样 了 我 已经 尽力 了
0,xboxone、lumiaxxxx、windowsxx、windowsRT,xboxone 、 lumiaxxxx 、 windowsxx 、 windowsRT
0,”谁知老妈的回答好有爱：”每次开锁时要手指在屏幕上划,” 谁知 老妈 的 回答 好 有 爱 ： ” 每次 开锁 时要 手指 在 屏幕 上 划
0,电脑里明明还有03版的word可以用我干嘛要手贱下这破玩意儿来用啦,电脑 里 明明 还有 03 版 的 word 可以 用 我 干嘛 要手 贱 下 这破 玩意儿 来用 啦
0,共冲洗道路436440平方米、隔离栏10735余米、果皮箱及垃圾桶共计28个,共 冲洗 道路 436440 平方米 、 隔离 栏 10735 余米 、 果皮箱 及 垃圾桶 共计 28 个
0,徐州三院整形美容中心特地推出飞顿冰点脱毛技,徐州 三院 整形 美容中心 特地 推出 飞顿 冰点 脱毛 技
0,360安全卫士根本保护不了我的电脑,360 安全卫士 根本 保护 不了 我 的 电脑
1,，农商银行账号，xxxxxxxxxxxxxxxxxx户名陈海能，农业銀行xxxxxx  xxxx  xxxx  xxxxx戶名陈海能，,， 农商 银行账号 ， xxxxxxxxxxxxxxxxxx 户名 陈海能 ， 农业 銀行 xxxxxx     xxxx     xxxx     xxxxx 戶名 陈海能 ，
0,去哪儿订票扣款4天后一直不出票,去 哪儿 订票 扣款 4 天后 一直 不 出票
0,一个更新很慢的作者的百度关键词,一个 更新 很慢 的 作者 的 百度 关键词
0,回家第一件事就是打开电脑继续做其他科目的笔记,回家 第一件 事 就是 打开 电脑 继续 做 其他 科目 的 笔记
0,望知情者请帮忙联系我13968324647,望 知情者 请 帮忙 联系 我 13968324647
0,电脑启动后到了这个界面就不动了,电脑 启动 后 到 了 这个 界面 就 不动 了
0,诚信”为主题的社会主义核心价值观的宣讲活动,诚信 ” 为 主题 的 社会主义 核心 价值观 的 宣讲 活动
1,各位亲爱的童鞋，开学啦！中国移动存xx送xxx元话费和存xxx送xxx元话费活动正在进行中！还未办理的同学请抓住机会至校内移动网点办理,各位 亲爱 的 童鞋 ， 开学 啦 ！ 中国移动 存 xx 送 xxx 元 话费 和 存 xxx 送 xxx 元 话费 活动 正在 进行 中 ！ 还 未办理 的 同学 请 抓住机会 至 校内 移动 网点 办理
0,来自上海、江苏、江西等华东赛区的65所高校、298支队伍,来自 上海 、 江苏 、 江西 等 华东 赛区 的 65 所 高校 、 298 支 队伍
0,卧槽多哥打算当医生啊好感up,卧槽 多哥 打算 当 医生 啊 好感 up
0,海航投资中期净利8607万同比下滑逾六成,海航 投资 中期 净利 8607 万 同比 下滑 逾 六成
1,钱，买多免多少少!法恩莎，TOTO卫浴等可参加“送红包，抽大奖”活动。机不可失，失不再来！      祝您新年快乐，鸿运连连，财源滚滚,钱 ， 买多免 多少 少 ! 法恩莎 ， TOTO 卫浴 等 可 参加 “ 送 红包 ， 抽 大奖 ” 活动 。 机不可失 ， 失不再来 ！             祝您 新年快乐 ， 鸿运 连连 ， 财源滚滚
0,无锡冷轧午评：今市价整体稳中偏弱,无锡 冷轧 午评 ： 今 市价 整体 稳中 偏弱
0,觉得整个身体的细胞都在沉淀,觉得 整个 身体 的 细胞 都 在 沉淀
0,今晚发现浙江省杭州市余杭经济开发区星火北路,今晚 发现 浙江省 杭州市 余杭 经济 开发区 星火 北路
0,这下好了网被弄坏了电脑系统盘也手贱删了个文件,这下 好 了 网 被 弄坏了 电脑系统 盘 也 手 贱 删 了 个 文件
1,爱克首府给您送礼啦！闹元宵、猜灯谜、砸金蛋、领元宵礼物（苏伯尔锅、电暖器，大豆油、鸡蛋等）----相聚CBD爱克首府，领取精美礼品（正月十三至正月十五、上午x点下午x点）期待您的参与！【爱克·首府】  周舟xxxxxxxxxxx,爱克 首府 给 您 送礼 啦 ！ 闹元宵 、 猜 灯谜 、 砸 金蛋 、 领 元宵 礼物 （ 苏伯尔锅 、 电暖器 ， 大豆油 、 鸡蛋 等 ） ---- 相聚 CBD 爱克 首府 ， 领取 精美 礼品 （ 正月 十三 至 正月十五 、 上午 x 点 下午 x 点 ） 期待 您 的 参与 ！ 【 爱克 · 首府 】     周舟 xxxxxxxxxxx
0,台风中毅力的我姐修电脑hhhhhhh有个螺丝装不进哈哈哈哈哈哈哈哈,台风 中 毅力 的 我 姐修 电脑 hhhhhhh 有个 螺丝 装不进 哈哈哈哈 哈哈哈哈
0,苏州公交五分公司召开九场驾驶员安全会议,苏州 公交 五分 公司 召开 九场 驾驶员 安全 会议
0,也算是不枉我三天两夜飞机火车况且况且的折腾了,也 算是 不枉 我 三天 两夜 飞机 火车 况且 况且 的 折腾 了
0,揭秘杨柳“5次婚姻”背后真相,揭秘 杨柳 “ 5 次 婚姻 ” 背后 真相
0,seeyou～天生一张嘲讽脸,seeyou ～ 天生 一张 嘲讽 脸
0,其实更像抢劫的劝大家夏天的小包千万别放侧面或后面,其实 更 像 抢劫 的 劝 大家 夏天 的 小包 千万别 放 侧面 或 后面
0,而新闻推广是在20家以上的新闻媒体网站同步推广,而 新闻 推广 是 在 20 家 以上 的 新闻媒体 网站 同步 推广
0,最近忙着签证忙着旅游准备～Todolist1000块拼图四天10小时～,最近 忙 着 签证 忙 着 旅游 准备 ～ Todolist1000 块 拼图 四天 10 小时 ～
0,终于可以进一步了解真相了吗,终于 可以 进一步 了解 真相 了 吗
0,动力源自Tamora的TVR经典的自然进气直列6缸发动机,动力 源自 Tamora 的 TVR 经典 的 自然 进气 直列 6 缸 发动机
1,【法国雅漾】亲爱的VIP会员，感谢您参与会员专属活动。x月x日-x日期间凭此邮件莅临南宁【新梦雅漾专柜】任意消费即可尊享双倍积分及免费,【 法国 雅漾 】 亲爱 的 VIP 会员 ， 感谢您 参与 会员 专属 活动 。 x 月 x 日 - x 日 期间 凭此 邮件 莅临 南宁 【 新梦雅漾 专柜 】 任意 消费 即可 尊享 双倍 积分 及 免费
1,新年好！赛维洗衣生活馆☆xxxx钜惠！洗羽绒服、棉衣xx元一件，活动时间:x月x日——x月xx日,新年好 ！ 赛维 洗衣 生活馆 ☆ xxxx 钜 惠 ！ 洗 羽绒服 、 棉衣 xx 元 一件 ， 活动 时间 : x 月 x 日 — — x 月 xx 日
0,年接待游客能力将超500万人次,年 接待 游客 能力 将 超 500 万人次
1,邮政xxxx*xxxx*xxxx*xxxx*xxx陈庆双,邮政 xxxx * xxxx * xxxx * xxxx * xxx 陈庆双
1,亲，柠檬到货啦，数量不多，请速来选购。可邮件预留（最多保留两天）ps:另有售香水柠檬蜜（纯蜂蜜+柠檬） 江汉一路 挑tea时尚茶饮,亲 ， 柠檬 到货 啦 ， 数量 不 多 ， 请速来 选购 。 可 邮件 预留 （ 最 多 保留 两天 ） ps : 另 有售 香水 柠檬 蜜 （ 纯 蜂蜜 + 柠檬 ）   江汉 一路   挑 tea 时尚 茶 饮
0,工信部公布2015年智能制造试点示范项目名单,工信部 公布 2015 年 智能 制造 试点 示范 项目 名单
0,称“12岁女童邹佩秀在湖南湘雅医院就诊后死亡,称 “ 12 岁 女童 邹佩秀 在 湖南 湘雅医院 就诊 后 死亡
0,x月xx至x月xx日在安徽国际会展中心合肥第一次承办国际性的大比赛robocup机器人世界杯大赛,x 月 xx 至 x 月 xx 日 在 安徽 国际 会展中心 合肥 第一次 承办 国际性 的 大 比赛 robocup 机器人 世界杯 大赛
0,全国发生多起“电梯吃人”事故,全国 发生 多 起 “ 电梯 吃 人 ” 事故
0,我居然在花千骨里看到了摄神取念,我 居然 在 花千骨里 看到 了 摄神 取念
1,华侨海景城x号楼顶层楼中楼，天台加露台，使用xxx平，仅售价xxxx万，绝对华侨最好户型，看房有钥匙，联系xxxxxxxxxxx林,华侨 海景 城 x 号 楼顶 层 楼中楼 ， 天台 加 露台 ， 使用 xxx 平 ， 仅 售价 xxxx 万 ， 绝对 华侨 最好 户型 ， 看房 有 钥匙 ， 联系 xxxxxxxxxxx 林
0,喜德县公安局业务技术用房的开工建设,喜德县 公安局 业务 技术 用房 的 开工 建设
0,TB手机包头层牛皮?xxxx,TB 手机 包头 层 牛皮 ? xxxx
0,留尼汪岛附近再现疑似MH370相关物品,留尼汪岛 附近 再现 疑似 MH370 相关 物品
0,还是不断反复尝试在GOOGLE找到了对应的阿文,还是 不断 反复 尝试 在 GOOGLE 找到 了 对应 的 阿文
0,章镇派出所花了九牛二虎之力,章镇 派出所 花 了 九牛二虎之力
0,看见五颗卫星排成一排一颗颗的落下来坠毁,看见 五颗 卫星 排成 一排 一颗颗 的 落下来 坠毁
0,新浪的自黑阿里的别人黑,新浪 的 自黑 阿里 的 别人 黑
0,亚马逊如今已成为一个年营收逾880亿美元的“电商帝国”,亚马逊 如今 已 成为 一个 年 营收 逾 880 亿美元 的 “ 电商 帝国 ”
0,油管总是提示google停止运行,油管 总是 提示 google 停止 运行
0,我们似乎是被妖姑娘潜规则下活着的生命,我们 似乎 是 被 妖 姑娘 潜规则 下 活着 的 生命
0,将通过电子警察抓拍进行管理,将 通过 电子警察 抓拍 进行 管理
0,就在北京頤堤港的2015NBANATION籃球國度北京場,就 在 北京 頤堤 港 的 2015NBANATION 籃球 國度 北京 場
0,现在觉得黑咖啡也不那么苦不那么酸了,现在 觉得 黑 咖啡 也 不 那么 苦 不 那么 酸 了
1,利率浮到顶，存款最划算！自xxxx年x月x日起，我行存款利率统一上浮xx%，让您尊享最高存款收益。[泉州银行台商支行],利率 浮到 顶 ， 存款 最 划算 ！ 自 xxxx 年 x 月 x 日起 ， 我行 存款 利率 统一 上浮 xx% ， 让 您 尊享 最高 存款 收益 。 [ 泉州 银行 台商 支行 ]
0,男子戴着口罩电棍抢劫便利店警方一小时破案,男子 戴着 口罩 电棍 抢劫 便利店 警方 一 小时 破案
0,都抢着做打车、因为太多卖得起车养不起,都 抢 着 做 打车 、 因为 太多卖 得 起车 养不起
0,好声音里唱晴天的关诗敏是12年说喜欢IU的那个女孩…isaywhy灰常眼熟,好 声音 里 唱 晴天 的 关诗敏 是 12 年 说 喜欢 IU 的 那个 女孩 … isaywhy 灰常 眼熟
0,由OfficeOnline支持,由 OfficeOnline 支持
0,对于这种模式和结果已经习惯了根本谈不上生气或者不公了甚至没有丝毫的失望职业道德的底线还在坚持着什么,对于 这种 模式 和 结果 已经 习惯 了 根本 谈不上 生气 或者 不公 了 甚至 没有 丝毫 的 失望 职业道德 的 底线 还 在 坚持 着 什么
